AccX,AccY,AccZ,Longitude,Latitude
1.889,0.182,9.8497,77.742065,21.23045
1.889,0.182,9.8497,77.742065,21.23045
1.889,0.182,9.8497,77.742065,21.23045
1.889,0.182,9.8497,77.742065,21.23045
1.889,0.182,9.8497,77.742065,21.23045
1.889,0.182,9.8497,77.742065,21.23045
1.889,0.182,9.8497,77.742065,21.23045
1.889,0.182,9.8497,77.742065,21.23045
1.889,0.182,9.8497,77.742065,21.23045
1.889,0.182,9.8497,77.742065,21.23045
1.889,0.182,9.8497,77.742065,21.23045
1.889,0.182,9.8497,77.742065,21.23045
1.889,0.182,9.8497,77.742065,21.23045
1.889,0.182,9.8497,77.742065,21.23045
1.889,0.182,9.8497,77.742065,21.23045
1.889,0.182,9.8497,77.742065,21.23045
1.889,0.182,9.8497,77.742065,21.23045
1.889,0.182,9.8497,77.742065,21.23045
3.1244,0.1413,8.3845,77.742065,21.23045
3.1244,0.1413,8.3845,77.742065,21.23045
3.1244,0.1413,8.3845,77.742065,21.23045
3.1244,0.1413,8.3845,77.742065,21.23045
3.1244,0.1413,8.3845,77.742065,21.23045
3.1244,0.1413,8.3845,77.742065,21.23045
3.1244,0.1413,8.3845,77.742065,21.23045
3.1244,0.1413,8.3845,77.742065,21.23045
3.1244,0.1413,8.3845,77.742065,21.23045
3.1244,0.1413,8.3845,77.742065,21.23045
3.1244,0.1413,8.3845,77.742065,21.23045
3.1244,0.1413,8.3845,77.742065,21.23045
3.1244,0.1413,8.3845,77.742065,21.23045
3.1244,0.1413,8.3845,77.742065,21.23045
3.1244,0.1413,8.3845,77.742065,21.23045
3.1244,0.1413,8.3845,77.742065,21.23045
2.2649,0.5483,9.4212,77.742065,21.23045
2.2649,0.5483,9.4212,77.742065,21.23045
2.2649,0.5483,9.4212,77.742065,21.23045
2.2649,0.5483,9.4212,77.742065,21.23045
2.2649,0.5483,9.4212,77.742065,21.23045
2.2649,0.5483,9.4212,77.742065,21.23045
2.2649,0.5483,9.4212,77.742065,21.23045
2.2649,0.5483,9.4212,77.742065,21.23045
2.2649,0.5483,9.4212,77.742065,21.23045
2.2649,0.5483,9.4212,77.742065,21.23045
2.2649,0.5483,9.4212,77.742065,21.23045
2.2649,0.5483,9.4212,77.742065,21.23045
2.2649,0.5483,9.4212,77.742065,21.23045
